Date,PKR,USD
2012-06-26,94.483512,1.0
2012-06-27,94.634897,1.0
2012-06-28,94.438373,1.0
2012-06-29,94.546201,1.0
2012-06-30,94.546201,1.0
2012-07-01,94.478251,1.0
2012-07-02,94.698891,1.0
2012-07-03,94.65949,1.0
2012-07-04,94.62349,1.0
2012-07-05,94.308311,1.0
2012-07-06,94.025029,1.0
2012-07-07,94.028479,1.0
2012-07-08,94.113529,1.0
2012-07-09,94.019339,1.0
2012-07-10,94.403581,1.0
2012-07-11,94.425531,1.0
2012-07-12,94.344308,1.0
2012-07-13,94.371831,1.0
2012-07-14,94.388066,1.0
2012-07-15,94.313991,1.0
2012-07-16,94.42531,1.0
2012-07-17,94.441265,1.0
2012-07-18,94.28632,1.0
2012-07-19,94.426477,1.0
2012-07-20,94.457865,1.0
2012-07-21,94.447972,1.0
2012-07-22,94.668522,1.0
2012-07-23,95.001672,1.0
2012-07-24,94.461116,1.0
2012-07-25,94.512421,1.0
2012-07-26,94.449186,1.0
2012-07-27,94.563851,1.0
2012-07-28,94.576957,1.0
2012-07-29,94.580107,1.0
2012-07-30,94.612429,1.0
2012-07-31,94.628339,1.0
2012-08-01,94.848798,1.0
2012-08-02,94.771957,1.0
2012-08-03,94.598772,1.0
2012-08-04,94.626288,1.0
2012-08-05,94.398063,1.0
2012-08-06,94.174758,1.0
2012-08-07,94.329642,1.0
2012-08-08,94.074833,1.0
2012-08-09,94.048022,1.0
2012-08-10,93.646473,1.0
2012-08-11,93.635083,1.0
2012-08-12,93.855583,1.0
2012-08-13,94.148061,1.0
2012-08-14,94.567449,1.0
2012-08-15,94.438656,1.0
2012-08-16,94.481237,1.0
2012-08-17,94.49301,1.0
2012-08-18,94.513277,1.0
2012-08-19,94.546677,1.0
2012-08-20,94.427235,1.0
2012-08-21,94.10916,1.0
2012-08-22,93.95256,1.0
2012-08-23,94.192851,1.0
2012-08-24,94.440545,1.0
2012-08-25,94.483106,1.0
2012-08-26,94.503781,1.0
2012-08-27,94.516945,1.0
2012-08-28,94.28192,1.0
2012-08-29,94.306467,1.0
2012-08-30,94.26814,1.0
2012-08-31,94.088002,1.0
2012-09-01,94.594177,1.0
2012-09-02,94.112352,1.0
2012-09-03,94.126254,1.0
2012-09-04,94.327495,1.0
2012-09-05,94.055735,1.0
2012-09-06,94.010023,1.0
2012-09-07,93.710569,1.0
2012-09-08,94.423701,1.0
2012-09-09,93.554926,1.0
2012-09-10,93.932817,1.0
2012-09-11,93.550782,1.0
2012-09-12,94.542011,1.0
2012-09-13,94.275859,1.0
2012-09-14,94.482807,1.0
2012-09-15,94.529188,1.0
2012-09-16,94.503338,1.0
2012-09-17,94.512042,1.0
2012-09-18,94.533252,1.0
2012-09-19,94.466015,1.0
2012-09-20,94.401167,1.0
2012-09-21,94.691034,1.0
2012-09-22,94.713167,1.0
2012-09-23,94.762734,1.0
2012-09-24,94.547267,1.0
2012-09-25,94.616468,1.0
2012-09-26,94.704968,1.0
2012-09-27,94.721334,1.0
2012-09-28,94.870666,1.0
2012-09-29,95.007666,1.0
2012-09-30,95.005166,1.0
2012-10-01,95.014199,1.0
2012-10-02,94.999133,1.0
2012-10-03,95.186533,1.0
2012-10-04,95.451366,1.0
2012-10-05,95.461999,1.0
2012-10-06,95.458866,1.0
2012-10-07,95.425466,1.0
2012-10-08,95.521456,1.0
2012-10-09,95.577571,1.0
2012-10-10,95.486352,1.0
2012-10-11,95.576806,1.0
2012-10-12,95.528494,1.0
2012-10-13,95.535944,1.0
2012-10-14,95.565314,1.0
2012-10-15,95.463229,1.0
2012-10-16,95.187943,1.0
2012-10-17,95.442798,1.0
2012-10-18,95.463148,1.0
2012-10-19,95.451277,1.0
2012-10-20,95.551382,1.0
2012-10-21,95.537332,1.0
2012-10-22,95.459949,1.0
2012-10-23,95.575553,1.0
2012-10-24,95.57644,1.0
2012-10-25,95.858169,1.0
2012-10-26,95.794601,1.0
2012-10-27,95.833911,1.0
2012-10-28,95.743611,1.0
2012-10-29,95.826001,1.0
2012-10-30,95.752567,1.0
2012-10-31,95.912957,1.0
2012-11-01,95.662295,1.0
2012-11-02,95.815622,1.0
2012-11-03,95.773429,1.0
2012-11-04,95.904299,1.0
2012-11-05,96.135999,1.0
2012-11-06,96.191022,1.0
2012-11-07,96.011075,1.0
2012-11-08,95.983332,1.0
2012-11-09,95.926226,1.0
2012-11-10,95.972816,1.0
2012-11-11,95.985436,1.0
2012-11-12,95.901398,1.0
2012-11-13,95.975233,1.0
2012-11-14,95.944033,1.0
2012-11-15,95.854469,1.0
2012-11-16,95.944504,1.0
2012-11-17,95.959186,1.0
2012-11-18,95.941556,1.0
2012-11-19,96.094345,1.0
2012-11-20,96.099433,1.0
2012-11-21,95.925073,1.0
2012-11-22,95.971514,1.0
2012-11-23,96.033,1.0
2012-11-24,95.913461,1.0
2012-11-25,95.884231,1.0
2012-11-26,95.925096,1.0
2012-11-27,96.062249,1.0
2012-11-28,96.247856,1.0
